canción id,nombre,artistas,duración (segundos),popularidad,explícito,fecha de lanzamiento,url de spotify,imagen,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,clave (key),modo (mode),predicted_genre,Cluster
6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,Tito Double P,145.473,89,1,2024-08-22,https://open.spotify.com/track/6X6m4xmdFcz31p1h7Qg68c,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,0.724,0.689,0.936,120.208,0.573,6.77e-06,0.0524,7,0,latin,3
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",253.834,87,1,2024-10-28,https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk,https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7,0.373,0.818,0.361,97.571,0.36,0.0,0.102,3,0,classical,1
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,266.773,88,0,2000-07-10,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,0.429,0.661,0.285,173.372,0.00239,0.000121,0.0281,11,1,rock,0
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,136.627,89,1,2024-10-10,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb,https://i.scdn.co/image/ab67616d0000b273a3775761df7db97cf6699e41,0.894,0.725,0.838,116.988,0.00434,1.15e-05,0.0432,10,0,latin,3
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,"Tito Double P, Peso Pluma",153.928,88,1,2024-08-22,https://open.spotify.com/track/5lKFO0PrOC9jmOlPEdjHsL,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,0.745,0.513,0.929,109.935,0.783,0.0,0.087,1,1,latin,2
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",244.684,90,0,2023-06-23,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,0.264,0.64,0.19,84.828,0.0393,2.31e-06,0.0442,8,1,jazz,0
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,220.734,84,0,2010-05-11,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,0.635,0.841,0.424,109.021,0.0134,0.0,0.0422,5,1,electronic,0
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,190.427,90,1,2024-09-05,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A,https://i.scdn.co/image/ab67616d0000b273c0db065619ed208515412917,0.466,0.872,0.806,184.115,0.0156,0.0,0.0336,7,1,rock,2
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,206.693,86,0,2016-11-17,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,0.853,0.56,0.86,134.066,0.013,0.0,0.0406,1,1,pop,0
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",278.014,84,1,2024-10-28,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7,0.392,0.555,0.191,96.063,0.287,0.000253,0.039,4,0,jazz,1
